,date,daily_return_oil,daily_return_tbill,daily_excess_return
77,2020-04-21,-1.2409410492157924,-0.08333333333333326,-1.1576077158824591
78,2020-04-22,0.5308641975308643,0.09090909090909083,0.4399551066217735
79,2020-04-23,0.10410557184750724,-0.08333333333333326,0.1874389051808405
80,2020-04-24,0.06175298804780871,0.09090909090909083,-0.029156102861282118
81,2020-04-27,-0.23889931207004378,0.0,-0.23889931207004378
82,2020-04-28,0.01889893179950697,-0.08333333333333326,0.10223226513284023
83,2020-04-29,0.2129032258064516,-0.09090909090909083,0.30381231671554243
84,2020-04-30,0.27859042553191493,-0.10000000000000009,0.378590425531915
85,2020-05-01,0.02548101924076951,0.33333333333333326,-0.30785231409256375
86,2020-05-04,0.038032454361054846,0.08333333333333348,-0.045300878972278635
87,2020-05-05,0.19980459208597945,0.0,0.19980459208597945
